date,open,high,low,close,preclose,volume,amount,return,return_1d,return_2d,return_5d,return_7d,return_10d,momentum_1d,momentum_2d,momentum_5d,momentum_7d,momentum_10d,DayOfWeek,DayOfMonth,DayOfYear,SMA_5d,SMA_7d,SMA_10d,SMA_20d,SMA_30d,EMA_5d,EMA_7d,EMA_10d,EMA_20d,EMA_30d,rsi,MACD,Signal_Line,cci,oi,ci,ui,di,Vyz,H-L,H-PC,L-PC,TR,ATR,OBV,VWMA,upper_band,lower_band,y
2006-11-28,14.58,14.7,14.26,14.36,14.68,821090,11869328.21,-2.179841,1.241381,2.401131,1.459853,-0.213521,0.347458,-0.3200000000000003,-0.14000000000000057,0.4599999999999991,0.33999999999999986,-0.08000000000000007,-0.5,0.4,0.40934065934065933,14.334,14.18142857142857,14.178999999999998,14.171000000000001,14.482666666666667,14.272111286415111,14.272111286415111,14.272111286415111,14.272111286415111,14.272111286415111,52.710843373493965,-0.08426429717850858,-0.15012525012256187,44.94598765432082,-0.006835296605857366,-0.015204162960434047,0.00819676720417849,-0.022192311594362184,0.00041206816585099545,0.4399999999999995,0.019999999999999574,0.41999999999999993,0.4399999999999995,0.479047619047619,11907077.0,14.817061693510794,14.834165584413745,14.192501082252923,-4.114133
2006-11-29,14.2,14.38,14.0,14.31,14.36,1070600,15236763.0,-0.348184,-2.179841,1.241381,0.503602,-2.282458,0.069254,-0.049999999999998934,-0.3699999999999992,0.33999999999999986,0.6100000000000012,-0.1399999999999988,-0.33333333333333337,0.43333333333333335,0.41208791208791207,14.402000000000001,14.26857142857143,14.165000000000001,14.163500000000003,14.467666666666668,14.278426072012593,14.278426072012593,14.278426072012593,14.278426072012593,14.278426072012593,48.734177215189874,-0.074906464249203,-0.1350814929478901,-45.206971677559245,-0.011204599012863132,0.007716628961144593,0.012596387685685786,-0.014184634991956413,0.0003614715521366435,0.3800000000000008,0.02000000000000135,0.35999999999999943,0.3800000000000008,0.4747619047619047,10836477.0,14.809158602127996,14.851497197997682,14.04850280200232,2.491354
2006-11-30,14.26,14.71,14.21,14.36,14.31,1283946,18605071.33,0.349401,-0.348184,-2.179841,1.360054,1.459853,-2.768164,0.049999999999998934,0.0,0.1999999999999993,0.4599999999999991,0.3099999999999987,-0.16666666666666669,0.4666666666666667,0.4148351648351648,14.442000000000002,14.334285714285715,14.196000000000002,14.183999999999997,14.430333333333332,14.292021726677161,14.292021726677161,14.292021726677161,14.292021726677161,14.292021726677161,58.67158671586714,-0.06273258985445551,-0.12061171232920317,6.822612085769263,-0.0035001785822096863,0.006988148633928163,0.03106911962719634,-0.0035124728771405668,0.0005629654953021293,0.5,0.40000000000000036,0.09999999999999964,0.5,0.4761904761904761,12120423.0,14.800916982864695,14.4010683602522,14.285598306414467,2.768399
2006-12-01,14.36,14.65,14.23,14.55,14.36,953159,13769258.75,1.323124,0.349401,-0.348184,2.401131,0.503602,-0.213521,0.19000000000000128,0.2400000000000002,0.05000000000000071,0.5800000000000001,0.5300000000000011,0.0,-0.5,0.41758241758241754,14.452000000000002,14.417142857142858,14.248999999999999,14.2065,14.423666666666666,14.335018105564302,14.335018105564302,14.335018105564302,14.335018105564302,14.335018105564302,53.33333333333334,-0.03732305760951782,-0.1039539813852661,30.071355759430848,0.0,0.013144429997423419,0.019993771842998324,-0.009094151518317098,0.0005256944765700907,0.41999999999999993,0.2900000000000009,0.129999999999999,0.41999999999999993,0.4652380952380951,13073582.0,14.797544998313963,14.659912265509616,14.153421067823716,2.496716
2006-12-04,14.61,15.03,14.61,14.75,14.55,1294956,19172212.66,1.374569,1.323124,0.349401,1.241381,1.360054,-2.282458,0.1999999999999993,0.39000000000000057,0.07000000000000028,0.5899999999999999,1.0500000000000007,-0.6666666666666666,-0.4,0.42582417582417587,14.466,14.501428571428573,14.354,14.259,14.390333333333333,14.40418175463692,14.40418175463692,14.40418175463692,14.40418175463692,14.40418175463692,56.07843137254903,-0.0010355544818949625,-0.08337029600459188,165.3005464480876,0.0041152321451065794,0.009536857023220822,0.028341978002275097,0.0,0.0004108941911428384,0.41999999999999993,0.47999999999999865,0.05999999999999872,0.47999999999999865,0.4709523809523808,14368538.0,14.796692502356874,14.94337606603493,14.163290600631736,5.96154
2006-12-05,14.78,14.84,14.56,14.68,14.75,924851,13539648.86,-0.474574,1.374569,1.323124,-2.179841,2.401131,1.459853,-0.07000000000000028,0.129999999999999,0.3200000000000003,0.17999999999999972,0.7799999999999994,-0.5,-0.3666666666666667,0.4285714285714286,14.529999999999998,14.527142857142858,14.431999999999999,14.2865,14.351333333333335,14.450151462197432,14.450151462197432,14.450151462197432,14.450151462197432,14.450151462197432,54.406130268199234,0.021822581068031255,-0.06233172059006726,63.79223398890607,0.002031832734226852,-0.006788892333686203,0.004051322219178724,-0.014996872751515691,0.0003351843884861628,0.27999999999999936,0.08999999999999986,0.1899999999999995,0.27999999999999936,0.4604761904761903,13443687.0,14.795217064051712,14.862977831301837,14.45702216869816,1.935872
2006-12-06,14.7,15.38,14.5,15.06,14.68,2680188,40041477.83,2.588557,-0.474574,1.374569,-0.348184,1.241381,0.503602,0.3800000000000008,0.3100000000000005,0.75,0.3800000000000008,1.0899999999999999,-0.33333333333333337,-0.33333333333333337,0.43131868131868134,14.680000000000001,14.581428571428571,14.541,14.3305,14.336,14.551792885164527,14.551792885164527,14.551792885164527,14.551792885164527,14.551792885164527,69.49806949806948,0.06979607665765464,-0.03590616114052288,114.10064773293551,0.0013614705983211706,0.02419472858705697,0.04522047029280747,-0.013698844358161802,0.0007921611125803931,0.8800000000000008,0.7000000000000011,0.17999999999999972,0.8800000000000008,0.4609523809523808,16123875.0,14.80457614169403,15.234474968323138,14.425525031676862,1.186937
2006-12-07,15.18,15.28,14.8,14.81,15.06,1356871,20310312.78,-1.660026,2.588557,-0.474574,0.349401,-2.179841,1.360054,-0.25,0.13000000000000078,0.45000000000000107,0.45000000000000107,0.6500000000000004,-0.16666666666666669,-0.3,0.4340659340659341,14.770000000000001,14.645714285714286,14.606,14.351499999999998,14.326666666666666,14.594827404303773,14.594827404303773,14.594827404303773,14.594827404303773,14.594827404303773,64.05693950177937,0.08664373187279928,-0.011396182537858447,76.70614777213684,0.007936549595736342,-0.024676143687776347,0.006566011770890454,-0.025351591197414418,0.0008949627900246499,0.47999999999999865,0.21999999999999886,0.2599999999999998,0.47999999999999865,0.47095238095238073,14767004.0,14.80467149197629,15.236264158316565,14.463735841683437,-2.463344
2006-12-08,14.72,14.72,14.01,14.08,14.81,1663323,23783632.36,-4.929105,-1.660026,2.588557,1.323124,-0.348184,2.401131,-0.7300000000000004,-0.9800000000000004,-0.47000000000000064,-0.23000000000000043,-0.41999999999999993,0.0,-0.26666666666666666,0.4368131868131868,14.675999999999998,14.612857142857141,14.564000000000002,14.360999999999999,14.296999999999999,14.509022836919812,14.509022836919812,14.509022836919812,14.509022836919812,14.509022836919812,55.90062111801243,0.040622450552781686,-0.00099245591973042,-151.43715143715056,-0.006095514978977174,-0.04445176257083392,0.0,-0.04943575295181458,0.00032973454737958327,0.7100000000000009,0.08999999999999986,0.8000000000000007,0.8000000000000007,0.4876190476190474,13103681.0,14.789384109346488,15.668430164517922,13.631569835482079,-1.082372
2006-12-11,14.05,14.24,13.86,14.24,14.08,580347,8162091.56,1.136363,-4.929105,-1.660026,1.374569,0.349401,1.241381,0.16000000000000014,-0.5700000000000003,-0.5099999999999998,-0.11999999999999922,-0.4399999999999995,-0.6666666666666666,-0.16666666666666669,0.44505494505494503,14.574000000000002,14.595714285714285,14.52,14.3535,14.285333333333334,14.464185697433177,14.464185697433177,14.464185697433177,14.464185697433177,14.464185697433177,55.34591194968554,0.01686648996811968,0.0025793332578396,-99.16464564807302,-0.0021329549501415196,0.013432510204074958,0.013432510204074958,-0.013615402017997734,0.00042234660172250037,0.3800000000000008,0.16000000000000014,0.22000000000000064,0.3800000000000008,0.47761904761904744,13684028.0,14.785369952697213,15.144086586484576,13.609246746848758,-4.802437
